Thu Nov 05 12:46:14 +0000 2015,662249561403097088,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SOrkunBilici,İzmir - İstanbul / Türkiye,,,"nic.tr tam bir işkence!

com.tr alan adınız varsa en basit işlem saatler sürüyor! @UDHB"
Thu Oct 29 13:56:21 +0000 2015,659730493026541572,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",erdoganatabay,"İzmir, Türkiye",,,nic.tr: alan adı duraklatılmış.. https://t.co/8OjVtX1ugy
Mon Oct 19 21:00:17 +0000 2015,656213301689495553,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tarikcayir,"İstanbul, Türkiye",,,"@hkprst sorumlu değişikliğiyle bu mümkün, transfer yapılabiliyor. https://t.co/RfxKDdSZ5C adresindeki sayfayı inceleyebilirsin."
Fri Oct 09 10:35:11 +0000 2015,652432109341175808,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",suatyuksek,Gelibolu / İstanbul,,,Kılı tüğü özelleştireceğinize nic.tr yi özelleştirin de sektör rahat bi nefes alsın.
Thu Oct 01 17:52:14 +0000 2015,649642993541087232,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yamanbff,"Maltepe, İstanbul",,,@hybridanso nic tr kayıt olmayı demiyon my
Mon Aug 17 11:35:31 +0000 2015,633240736557830144,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",serkanince_,Ankara,,,Nic.tr üzerinden alan adını bir türlü yönlendiremedik. O kadar detaysız bir yönetim paneli var ki istediğimizi yapamıyoruz.
Tue Aug 04 05:37:54 +0000 2015,628439696427905024,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",uGrcAn,,,,@HSBC_TR_Destek internet bankaciligindan eft yapacagim sitenize girilmiyor nic.tr diye bir yazi geliyor???
Thu Jun 25 18:30:08 +0000 2015,614138520916107264,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",Musdem80,,,,nic.tr: alan adı rezerve edilmiş.. http://t.co/nFJUsbVecI
Mon May 04 06:28:26 +0000 2015,595112732120260608,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",kivancpehlivan,Antalya/Türkiye,,,"nic.tr de 25 TL olan com.tr domainler, hosting firmalarında 71 TL :S"
Tue Apr 28 09:07:46 +0000 2015,592978503370440705,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",arda_cavdar,"İstanbul, Türkiye",,,"@erayendes http://t.co/xCut19t5fQ de aynı şekilde, nic.tr de ufak bi yenileme olmamış mıydı?"
