Mon Dec 28 22:06:09 +0000 2015,681597026212134912,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sevketzaim,"Ankara, Türkiye",,,Türkiye'de kamunun yaşadığı iletişim(sizlik) sıkıntısı Nic.tr'de de var. Duyuru yapmak için neden 7 gün beklenir? https://t.co/NzG6gdHrJ3

Mon Dec 28 22:05:19 +0000 2015,681596816954159104,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sevketzaim,"Ankara, Türkiye",,,"Türkiye'nin en üst seviye internet alan adı .tr'yi yöneten ODTÜ'deki Nic.tr, 14 Aralıkta başlayan saldırılar için 21 Aralıkta duyuru yapıyor"

Mon Dec 28 19:30:45 +0000 2015,681557920388091905,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EmrCrk,İstanbul,,,Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/5WDgTBNmex via @voransoy

Mon Dec 28 18:42:16 +0000 2015,681545718251782144,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MnireKaraman,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Mon Dec 28 13:13:39 +0000 2015,681463019998736384,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FeryatBen,"ÜT: 51.249862,29.077097",,,"Nic.tr alt yapısı tamamen BTK’ya geçecek ve teknik alt yapıdan, hizmet sağlayan personele kadar kapsamlı bir değişim yaşanacak."

Mon Dec 28 08:58:07 +0000 2015,681398712090886144,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ixmailsaygili,İstanbul,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

Mon Dec 28 08:34:08 +0000 2015,681392675883331585,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",turkinternet,Turkey,,,RT @kayhankayihan: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/yfWAbxIvnC via @voransoy

Mon Dec 28 08:08:08 +0000 2015,681386134820249600,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sedatcans,İstanbul,,,Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/DJJqcN1N6n via @voransoy

Mon Dec 28 07:22:46 +0000 2015,681374716611944452,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",artraksiyon,İSTANBUL,,,Bu nic.tr ne kadar rahat arkadaş? Bunları denetleyen bi kurum yok mu ya? 40 saatte bir dns değişikliği yapılmaz mı? Gevşeksin #odtü

Mon Dec 28 05:08:08 +0000 2015,681340836869746688,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aslandeniz1980,yok#,,,RT @kayhankayihan: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/yfWAbxIvnC via @voransoy

Mon Dec 28 01:04:06 +0000 2015,681279420934533128,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SiberSaldiriCom,,,,Nic.tr'den sonra Bankalara siber saldırı... https://t.co/z1JdAMda6z

Sun Dec 27 22:51:32 +0000 2015,681246062045196292,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kayhankayihan,"Istanbul, Turkey",,,Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/yfWAbxIvnC via @voransoy

Sun Dec 27 22:51:27 +0000 2015,681246040842973184,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",34DMR,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 21:55:58 +0000 2015,681232075916206081,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",eniskabadayi,Türkiye ,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 21:07:55 +0000 2015,681219982882123776,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ErcanGUNES,İstanbul,,,Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/YSiwUvjJ9L via @voransoy

Sun Dec 27 21:04:25 +0000 2015,681219103605026816,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ahmetziyaeddin1,"Ankara, Türkiye",,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 20:17:18 +0000 2015,681207246118875136,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TIKNETTiN,Dünya üzerinde.,,,"https://t.co/odANIIs9sK
Nic.tr 'nin yaşadığı ddos problemi üzerine..."

Sun Dec 27 20:17:07 +0000 2015,681207201608916992,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DeenizOzcan,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

